Cümle 1.	TMSF, Digitürk'ün de yönetimini de ele geçirdi.
Cümle 2.	Ancak Digitürk'ün iki ortağı vardı: Çukurova Grubu ve Providence Equity Partners.
Cümle 3.	Mehmet Emin Karamehmet (mehmetemin.karamehmet@gmail.com), Digitürk hisselerinin yüzde 53.73’üne sahipti. 
Cümle 4.	Amerikalı Diğer ortak Providence Equity Partners'ın payı ise yüzde 47 idi.
Cümle 5.	Karamehmet'in hisselerini almak için Türk Telekom ve Doğan Grubu harekete geçti.
Cümle 6.	Türk Telekom 530 milyon dolar teklif ederken, Doğan Grubu aynı hisseler için 742 milyon dolar önerdi.
Cümle 7.	Resmi tekliflerin dışında Ciner ve Şahenk Grubu'nun da bir konsorsiyum kurarak 750 milyon dolarlık bir öneride bulunduğu ileri sürüldü. 
Cümle 8.	Mevcut fiyat tekliflerine göre Digitürk'ün piyasa değeri 1.2-1.4 milyar dolar aralığındaydı. 
Cümle 9.	Yatırım bankacılarına göre bu oldukça adil bir fiyattı.
Cümle 10.	TMSF Başkanı Şakir Ercan Gül gelen teklifleri değerlendirdi ancak satış gerçekleşmedi.
Cümle 11.	Tam 2 yıldır alıcı bekleyen Digitürk, Katar Emiri Şeyh Tamim Bin Hamad El Sani, Türkiye'ye geldiği gün Katar Kraliyet Ailesine ait Bein Media Group'a satıldı! 
Cümle 12.	Satış yine ihaleye çıkmadan davet usulüyle gerçekleşti! 
Cümle 13.	TMSF'nin bu satış için Rekabet Kurumu (RK) ve Radyo Televizyon Üst Kurulu'ndan (RTÜK) izin alıp almadığını bilmiyoruz.
Cümle 14.	Ligtv'nin pakete dahil edilip edilmediği de bir diğer merak konusu... 
Cümle 15.	Unutmadan, TMSF 2011 yılında Cine 5'I de Katarlı Al Jazeera Grubuna satmıştı.
Cümle 16.	Ancak satış işlemi işadamı Erol Aksoy'un itirazı üzerine iptal olmuştu.
Cümle 17.	Katarlılar Al Jazeera Türk haber kanalı projesini askıya alırken, TMSF yönetimi oldukça zor durumda kaldı.
Cümle 18.	Bu süreçte tek bir kişinin yani Erol Aksoy'un mücadelesi satışı durdurmaya yetmişti. 
Cümle 19.	Digitürk'te yabancı ortak ve çok sayıda abone olduğu düşünüldüğünde TMSF ve Katarlılar için tablonun pek de parlak olmadığını rahatlıkla söyleyebiliriz. 
Cümle 20.	TMSF, Mayıs 2013'te 440 milyon dolarlık borcun zamanında ödememesini gerekçe göstererek, Çukurova Grubu'nun otomotiv ve medya alanında faaliyet gösteren şirketlerine el koydu. 
Cümle 21.	Medya alanında faaliyet gösteren şirketlerden; Akşam, Güneş ve Sky360 TV ile 2 radyo kanalı ihale açılmadan davet usulüyle işadamı Ethem Sancak'a verildi. 
Cümle 22.	Satış işleminin tutarı o dönemde açıklanmadı. 
Cümle 23.	Üzerinden 2 sene geçtikten sonra Ethem Sancak, bütün bu şirketler için TMSF'ye 62 milyon dolar ödediğini açıkladı. 
Cümle 24.	TMSF yine aynı dönemde yine ihale yapmadan davet usulüyle Show TV'yi Ciner Grubu'na sattı.
Cümle 25.	Ciner Grubu bu satın alma işlemi için 402 milyon dolar ödedi.
Cümle 26.	Ancak buna rağmen ihale 2 kez yargıya taşındı ? 
Cümle 27.	Yargı son tahlilde Ciner Grubu'nu haklı buldu.
Cümle 28.	Şanlı, "TMSF'nin bu satış için Rekabet Kurumu (RK) ve Radyo Televizyon Üst Kurulu'ndan (RTÜK) izin alıp almadığını bilmiyoruz. Ligtv'nin pakete dahil edilip edilmediği de bir diğer merak konusu..." dedi.
Cümle 29.	Şanlı, ayrıca 2011 yılında TMSF tarafından Katarlı Al Jazeera Grubu'na satılan, ancak işadamı Erol Aksoy'un itirazıyla satışı iptal edilen Cine 5'in durumunu da hatırlattı ve benzer bir olayın Digiturk'ün satışında da yaşanabileceğini öne sürdü.
Cümle 30.	İşte Şanlı'nın "Digitürk'ün satışı yargıdan dönebilir" başlıklı bugünkü yazısı: Digitürk'ün Katar Kraliyet Ailesi tarafından yönetilen Bein Media'ya satılmasının üzerinden 2 ay geçti.
Cümle 31.	Satışı gerçekleştiren Tasarruf Mevduatı Sigorta Fonu (TMSF) o günden bu yana satış süreci ve fiyata dair en ufak bir açıklama yapmadı. 
Cümle 32.	Yani Türkiye'nin en büyük 2. dijital platformunun kaç paraya satıldığı hala büyük bir sır! 
Cümle 33.	Bu haber http://www.gazeteciler.com/ sitesinden alınmıştır.
Cümle 34.	Tarih ise 2.7.2016’dır. 
Cümle 35.	Yrd.Doç.Dr. Gülşen Cebiroğlu Eryiğit’ e teşekkürler.
